audit_id,site_id,keyword,response
6,SITE-014,medically_fit/медицинская_подготовка,Yes
6,SITE-014,competency_certified/компетентность_и_сертификация,Yes
6,SITE-014,high_risk_procedure_team/работы_повышенной_опасности,Yes
6,SITE-014,tools_inspected/проверка_инструментов,Yes
6,SITE-014,emergency_exits_marked/аварийные_выходы,Yes
6,SITE-014,ppe_available_condition/наличие_и_состояние_сиз,Yes
7,SITE-012,tools_inspected/проверка_инструментов,Yes
7,SITE-012,supervisor_available/наличие_руководителя,Yes
7,SITE-012,ppe_available_condition/наличие_и_состояние_сиз,Yes
7,SITE-012,competency_certified/компетентность_и_сертификация,Yes
7,SITE-012,work_area_hazard_free/отсутствие_опасностей,Yes
7,SITE-012,adequate_lighting/освещение,Yes
7,SITE-012,equipment_certified/сертификация_оборудования,Yes
7,SITE-012,defective_equipment_removed/удаление_неисправного_оборудования,Yes
7,SITE-012,high_risk_procedure_team/работы_повышенной_опасности,Yes
7,SITE-012,medically_fit/медицинская_подготовка,Yes
7,SITE-012,hazardous_materials_stored/хранение_опасных_материалов,Yes
7,SITE-012,emergency_exits_marked/аварийные_выходы,Yes
8,SITE-007,ppe_available_condition/наличие_и_состояние_сиз,Yes
8,SITE-007,work_area_hazard_free/отсутствие_опасностей,Yes
8,SITE-007,medically_fit/медицинская_подготовка,Yes
8,SITE-007,emergency_exits_marked/аварийные_выходы,Yes
8,SITE-007,competency_certified/компетентность_и_сертификация,Yes
8,SITE-007,equipment_certified/сертификация_оборудования,Yes
8,SITE-007,supervisor_available/наличие_руководителя,Yes
8,SITE-007,tools_inspected/проверка_инструментов,Yes
8,SITE-007,defective_equipment_removed/удаление_неисправного_оборудования,Yes
8,SITE-007,adequate_lighting/освещение,Yes
8,SITE-007,hazardous_materials_stored/хранение_опасных_материалов,Yes
8,SITE-007,high_risk_procedure_team/работы_повышенной_опасности,Yes
9,SITE-009,supervisor_available/наличие_руководителя,Yes
9,SITE-009,adequate_lighting/освещение,Yes
9,SITE-009,ppe_available_condition/наличие_и_состояние_сиз,Yes
9,SITE-009,high_risk_procedure_team/работы_повышенной_опасности,No
9,SITE-009,equipment_certified/сертификация_оборудования,Yes
9,SITE-009,emergency_exits_marked/аварийные_выходы,Yes
9,SITE-009,competency_certified/компетентность_и_сертификация,Yes
9,SITE-009,medically_fit/медицинская_подготовка,Yes
9,SITE-009,tools_inspected/проверка_инструментов,Yes
9,SITE-009,work_area_hazard_free/отсутствие_опасностей,No
9,SITE-009,defective_equipment_removed/удаление_неисправного_оборудования,Yes
9,SITE-009,hazardous_materials_stored/хранение_опасных_материалов,Yes
10,SITE-010,high_risk_procedure_team/работы_повышенной_опасности,No
10,SITE-010,competency_certified/компетентность_и_сертификация,Yes
10,SITE-010,emergency_exits_marked/аварийные_выходы,No
10,SITE-010,medically_fit/медицинская_подготовка,No
10,SITE-010,equipment_certified/сертификация_оборудования,Yes
10,SITE-010,tools_inspected/проверка_инструментов,Yes
10,SITE-010,adequate_lighting/освещение,No
10,SITE-010,work_area_hazard_free/отсутствие_опасностей,Yes
10,SITE-010,supervisor_available/наличие_руководителя,No
10,SITE-010,hazardous_materials_stored/хранение_опасных_материалов,Yes
10,SITE-010,ppe_available_condition/наличие_и_состояние_сиз,Yes
10,SITE-010,defective_equipment_removed/удаление_неисправного_оборудования,Yes
11,SITE-012,ppe_available_condition/наличие_и_состояние_сиз,Yes
11,SITE-012,work_area_hazard_free/отсутствие_опасностей,N/A
11,SITE-012,equipment_certified/сертификация_оборудования,N/A
11,SITE-012,hazardous_materials_stored/хранение_опасных_материалов,Yes
11,SITE-012,tools_inspected/проверка_инструментов,No
11,SITE-012,supervisor_available/наличие_руководителя,Yes
11,SITE-012,competency_certified/компетентность_и_сертификация,Yes
11,SITE-012,defective_equipment_removed/удаление_неисправного_оборудования,Yes
11,SITE-012,medically_fit/медицинская_подготовка,Yes
11,SITE-012,emergency_exits_marked/аварийные_выходы,Yes
11,SITE-012,adequate_lighting/освещение,N/A
11,SITE-012,high_risk_procedure_team/работы_повышенной_опасности,Yes
12,SITE-002,ppe_available_condition/наличие_и_состояние_сиз,Yes
12,SITE-002,emergency_exits_marked/аварийные_выходы,Yes
12,SITE-002,high_risk_procedure_team/работы_повышенной_опасности,Yes
12,SITE-002,hazardous_materials_stored/хранение_опасных_материалов,Yes
12,SITE-002,medically_fit/медицинская_подготовка,No
12,SITE-002,competency_certified/компетентность_и_сертификация,Yes
12,SITE-002,tools_inspected/проверка_инструментов,No
12,SITE-002,work_area_hazard_free/отсутствие_опасностей,Yes
12,SITE-002,equipment_certified/сертификация_оборудования,No
12,SITE-002,supervisor_available/наличие_руководителя,Yes
12,SITE-002,defective_equipment_removed/удаление_неисправного_оборудования,N/A
12,SITE-002,adequate_lighting/освещение,Yes
13,SITE-012,defective_equipment_removed/удаление_неисправного_оборудования,No
13,SITE-012,emergency_exits_marked/аварийные_выходы,Yes
13,SITE-012,competency_certified/компетентность_и_сертификация,Yes
13,SITE-012,work_area_hazard_free/отсутствие_опасностей,No
13,SITE-012,adequate_lighting/освещение,Yes
13,SITE-012,equipment_certified/сертификация_оборудования,No
13,SITE-012,tools_inspected/проверка_инструментов,Yes
13,SITE-012,supervisor_available/наличие_руководителя,Yes
13,SITE-012,hazardous_materials_stored/хранение_опасных_материалов,Yes
13,SITE-012,high_risk_procedure_team/работы_повышенной_опасности,Yes
13,SITE-012,medically_fit/медицинская_подготовка,Yes
13,SITE-012,ppe_available_condition/наличие_и_состояние_сиз,Yes
14,SITE-007,tools_inspected/проверка_инструментов,Yes
14,SITE-007,competency_certified/компетентность_и_сертификация,Yes
14,SITE-007,defective_equipment_removed/удаление_неисправного_оборудования,No
14,SITE-007,equipment_certified/сертификация_оборудования,Yes
14,SITE-007,hazardous_materials_stored/хранение_опасных_материалов,Yes
14,SITE-007,high_risk_procedure_team/работы_повышенной_опасности,Yes
14,SITE-007,adequate_lighting/освещение,Yes
14,SITE-007,work_area_hazard_free/отсутствие_опасностей,Yes
14,SITE-007,ppe_available_condition/наличие_и_состояние_сиз,Yes
14,SITE-007,medically_fit/медицинская_подготовка,Yes
14,SITE-007,supervisor_available/наличие_руководителя,Yes
14,SITE-007,emergency_exits_marked/аварийные_выходы,Yes
15,SITE-010,ppe_available_condition/наличие_и_состояние_сиз,Yes
15,SITE-010,work_area_hazard_free/отсутствие_опасностей,No
15,SITE-010,equipment_certified/сертификация_оборудования,No
15,SITE-010,defective_equipment_removed/удаление_неисправного_оборудования,Yes
15,SITE-010,high_risk_procedure_team/работы_повышенной_опасности,No
15,SITE-010,emergency_exits_marked/аварийные_выходы,Yes
15,SITE-010,supervisor_available/наличие_руководителя,Yes
15,SITE-010,competency_certified/компетентность_и_сертификация,Yes
15,SITE-010,adequate_lighting/освещение,Yes
15,SITE-010,tools_inspected/проверка_инструментов,No
15,SITE-010,hazardous_materials_stored/хранение_опасных_материалов,Yes
15,SITE-010,medically_fit/медицинская_подготовка,No
16,SITE-011,defective_equipment_removed/удаление_неисправного_оборудования,Yes
16,SITE-011,equipment_certified/сертификация_оборудования,Yes
16,SITE-011,emergency_exits_marked/аварийные_выходы,N/A
16,SITE-011,tools_inspected/проверка_инструментов,Yes
16,SITE-011,work_area_hazard_free/отсутствие_опасностей,Yes
16,SITE-011,supervisor_available/наличие_руководителя,Yes
16,SITE-011,medically_fit/медицинская_подготовка,Yes
16,SITE-011,adequate_lighting/освещение,Yes
16,SITE-011,high_risk_procedure_team/работы_повышенной_опасности,Yes
16,SITE-011,ppe_available_condition/наличие_и_состояние_сиз,Yes
16,SITE-011,competency_certified/компетентность_и_сертификация,N/A
16,SITE-011,hazardous_materials_stored/хранение_опасных_материалов,No
17,SITE-009,supervisor_available/наличие_руководителя,Yes
17,SITE-009,emergency_exits_marked/аварийные_выходы,Yes
17,SITE-009,defective_equipment_removed/удаление_неисправного_оборудования,N/A
17,SITE-009,work_area_hazard_free/отсутствие_опасностей,No
17,SITE-009,high_risk_procedure_team/работы_повышенной_опасности,Yes
17,SITE-009,adequate_lighting/освещение,Yes
17,SITE-009,medically_fit/медицинская_подготовка,Yes
17,SITE-009,tools_inspected/проверка_инструментов,Yes
17,SITE-009,equipment_certified/сертификация_оборудования,Yes
17,SITE-009,ppe_available_condition/наличие_и_состояние_сиз,Yes
17,SITE-009,competency_certified/компетентность_и_сертификация,Yes
17,SITE-009,hazardous_materials_stored/хранение_опасных_материалов,No
18,SITE-009,high_risk_procedure_team/работы_повышенной_опасности,Yes
18,SITE-009,work_area_hazard_free/отсутствие_опасностей,No
18,SITE-009,tools_inspected/проверка_инструментов,Yes
18,SITE-009,hazardous_materials_stored/хранение_опасных_материалов,Yes
18,SITE-009,supervisor_available/наличие_руководителя,Yes
18,SITE-009,competency_certified/компетентность_и_сертификация,No
18,SITE-009,adequate_lighting/освещение,Yes
18,SITE-009,equipment_certified/сертификация_оборудования,Yes
18,SITE-009,emergency_exits_marked/аварийные_выходы,N/A
18,SITE-009,ppe_available_condition/наличие_и_состояние_сиз,Yes
18,SITE-009,defective_equipment_removed/удаление_неисправного_оборудования,Yes
18,SITE-009,medically_fit/медицинская_подготовка,Yes
19,SITE-006,ppe_available_condition/наличие_и_состояние_сиз,Yes
19,SITE-006,work_area_hazard_free/отсутствие_опасностей,Yes
19,SITE-006,medically_fit/медицинская_подготовка,Yes
19,SITE-006,defective_equipment_removed/удаление_неисправного_оборудования,Yes
19,SITE-006,competency_certified/компетентность_и_сертификация,Yes
19,SITE-006,equipment_certified/сертификация_оборудования,Yes
19,SITE-006,emergency_exits_marked/аварийные_выходы,Yes
19,SITE-006,hazardous_materials_stored/хранение_опасных_материалов,Yes
19,SITE-006,supervisor_available/наличие_руководителя,Yes
19,SITE-006,high_risk_procedure_team/работы_повышенной_опасности,Yes
19,SITE-006,tools_inspected/проверка_инструментов,Yes
19,SITE-006,adequate_lighting/освещение,Yes
20,SITE-012,competency_certified/компетентность_и_сертификация,Yes
20,SITE-012,high_risk_procedure_team/работы_повышенной_опасности,Yes
20,SITE-012,defective_equipment_removed/удаление_неисправного_оборудования,Yes
20,SITE-012,medically_fit/медицинская_подготовка,Yes
20,SITE-012,hazardous_materials_stored/хранение_опасных_материалов,Yes
20,SITE-012,ppe_available_condition/наличие_и_состояние_сиз,Yes
20,SITE-012,tools_inspected/проверка_инструментов,Yes
20,SITE-012,adequate_lighting/освещение,Yes
20,SITE-012,equipment_certified/сертификация_оборудования,Yes
20,SITE-012,supervisor_available/наличие_руководителя,Yes
20,SITE-012,emergency_exits_marked/аварийные_выходы,Yes
20,SITE-012,work_area_hazard_free/отсутствие_опасностей,Yes
21,SITE-003,equipment_certified/сертификация_оборудования,N/A
21,SITE-003,ppe_available_condition/наличие_и_состояние_сиз,Yes
21,SITE-003,medically_fit/медицинская_подготовка,Yes
21,SITE-003,hazardous_materials_stored/хранение_опасных_материалов,Yes
21,SITE-003,work_area_hazard_free/отсутствие_опасностей,Yes
21,SITE-003,tools_inspected/проверка_инструментов,Yes
21,SITE-003,competency_certified/компетентность_и_сертификация,Yes
21,SITE-003,supervisor_available/наличие_руководителя,Yes
21,SITE-003,emergency_exits_marked/аварийные_выходы,Yes
21,SITE-003,defective_equipment_removed/удаление_неисправного_оборудования,Yes
21,SITE-003,high_risk_procedure_team/работы_повышенной_опасности,Yes
21,SITE-003,adequate_lighting/освещение,Yes
22,SITE-001,adequate_lighting/освещение,No
22,SITE-001,work_area_hazard_free/отсутствие_опасностей,Yes
22,SITE-001,ppe_available_condition/наличие_и_состояние_сиз,Yes
22,SITE-001,emergency_exits_marked/аварийные_выходы,Yes
22,SITE-001,defective_equipment_removed/удаление_неисправного_оборудования,N/A
22,SITE-001,tools_inspected/проверка_инструментов,No
22,SITE-001,hazardous_materials_stored/хранение_опасных_материалов,Yes
22,SITE-001,competency_certified/компетентность_и_сертификация,Yes
22,SITE-001,high_risk_procedure_team/работы_повышенной_опасности,No
22,SITE-001,medically_fit/медицинская_подготовка,Yes
22,SITE-001,supervisor_available/наличие_руководителя,No
22,SITE-001,equipment_certified/сертификация_оборудования,No
23,SITE-010,hazardous_materials_stored/хранение_опасных_материалов,No
23,SITE-010,equipment_certified/сертификация_оборудования,No
23,SITE-010,work_area_hazard_free/отсутствие_опасностей,No
23,SITE-010,high_risk_procedure_team/работы_повышенной_опасности,No
23,SITE-010,emergency_exits_marked/аварийные_выходы,Yes
23,SITE-010,supervisor_available/наличие_руководителя,Yes
23,SITE-010,ppe_available_condition/наличие_и_состояние_сиз,No
23,SITE-010,adequate_lighting/освещение,Yes
23,SITE-010,defective_equipment_removed/удаление_неисправного_оборудования,N/A
23,SITE-010,medically_fit/медицинская_подготовка,Yes
23,SITE-010,competency_certified/компетентность_и_сертификация,Yes
23,SITE-010,tools_inspected/проверка_инструментов,N/A
24,SITE-008,emergency_exits_marked/аварийные_выходы,No
24,SITE-008,adequate_lighting/освещение,N/A
24,SITE-008,work_area_hazard_free/отсутствие_опасностей,No
24,SITE-008,high_risk_procedure_team/работы_повышенной_опасности,Yes
24,SITE-008,ppe_available_condition/наличие_и_состояние_сиз,Yes
24,SITE-008,medically_fit/медицинская_подготовка,Yes
24,SITE-008,competency_certified/компетентность_и_сертификация,Yes
24,SITE-008,tools_inspected/проверка_инструментов,Yes
24,SITE-008,hazardous_materials_stored/хранение_опасных_материалов,Yes
24,SITE-008,equipment_certified/сертификация_оборудования,Yes
24,SITE-008,supervisor_available/наличие_руководителя,Yes
24,SITE-008,defective_equipment_removed/удаление_неисправного_оборудования,Yes
25,SITE-008,equipment_certified/сертификация_оборудования,Yes
25,SITE-008,defective_equipment_removed/удаление_неисправного_оборудования,Yes
25,SITE-008,ppe_available_condition/наличие_и_состояние_сиз,Yes
25,SITE-008,competency_certified/компетентность_и_сертификация,Yes
25,SITE-008,medically_fit/медицинская_подготовка,Yes
25,SITE-008,emergency_exits_marked/аварийные_выходы,Yes
25,SITE-008,adequate_lighting/освещение,Yes
25,SITE-008,hazardous_materials_stored/хранение_опасных_материалов,Yes
25,SITE-008,supervisor_available/наличие_руководителя,Yes
25,SITE-008,tools_inspected/проверка_инструментов,Yes
25,SITE-008,work_area_hazard_free/отсутствие_опасностей,Yes
25,SITE-008,high_risk_procedure_team/работы_повышенной_опасности,Yes
26,SITE-009,emergency_exits_marked/аварийные_выходы,Yes
26,SITE-009,high_risk_procedure_team/работы_повышенной_опасности,Yes
26,SITE-009,medically_fit/медицинская_подготовка,Yes
26,SITE-009,equipment_certified/сертификация_оборудования,N/A
26,SITE-009,adequate_lighting/освещение,Yes
26,SITE-009,competency_certified/компетентность_и_сертификация,Yes
26,SITE-009,defective_equipment_removed/удаление_неисправного_оборудования,Yes
26,SITE-009,hazardous_materials_stored/хранение_опасных_материалов,No
26,SITE-009,tools_inspected/проверка_инструментов,Yes
26,SITE-009,supervisor_available/наличие_руководителя,Yes
26,SITE-009,ppe_available_condition/наличие_и_состояние_сиз,Yes
26,SITE-009,work_area_hazard_free/отсутствие_опасностей,Yes
27,SITE-005,competency_certified/компетентность_и_сертификация,Yes
27,SITE-005,adequate_lighting/освещение,No
27,SITE-005,medically_fit/медицинская_подготовка,Yes
27,SITE-005,supervisor_available/наличие_руководителя,Yes
27,SITE-005,ppe_available_condition/наличие_и_состояние_сиз,No
27,SITE-005,equipment_certified/сертификация_оборудования,Yes
27,SITE-005,high_risk_procedure_team/работы_повышенной_опасности,N/A
27,SITE-005,emergency_exits_marked/аварийные_выходы,No
27,SITE-005,hazardous_materials_stored/хранение_опасных_материалов,Yes
27,SITE-005,tools_inspected/проверка_инструментов,Yes
27,SITE-005,work_area_hazard_free/отсутствие_опасностей,Yes
27,SITE-005,defective_equipment_removed/удаление_неисправного_оборудования,Yes
28,SITE-009,tools_inspected/проверка_инструментов,Yes
28,SITE-009,high_risk_procedure_team/работы_повышенной_опасности,Yes
28,SITE-009,hazardous_materials_stored/хранение_опасных_материалов,Yes
28,SITE-009,equipment_certified/сертификация_оборудования,Yes
28,SITE-009,ppe_available_condition/наличие_и_состояние_сиз,Yes
28,SITE-009,adequate_lighting/освещение,No
28,SITE-009,supervisor_available/наличие_руководителя,Yes
28,SITE-009,defective_equipment_removed/удаление_неисправного_оборудования,No
28,SITE-009,work_area_hazard_free/отсутствие_опасностей,Yes
28,SITE-009,competency_certified/компетентность_и_сертификация,Yes
28,SITE-009,emergency_exits_marked/аварийные_выходы,Yes
28,SITE-009,medically_fit/медицинская_подготовка,Yes
29,SITE-008,defective_equipment_removed/удаление_неисправного_оборудования,Yes
29,SITE-008,equipment_certified/сертификация_оборудования,No
29,SITE-008,emergency_exits_marked/аварийные_выходы,Yes
29,SITE-008,work_area_hazard_free/отсутствие_опасностей,Yes
29,SITE-008,high_risk_procedure_team/работы_повышенной_опасности,Yes
29,SITE-008,competency_certified/компетентность_и_сертификация,Yes
29,SITE-008,medically_fit/медицинская_подготовка,Yes
29,SITE-008,supervisor_available/наличие_руководителя,No
29,SITE-008,adequate_lighting/освещение,Yes
29,SITE-008,ppe_available_condition/наличие_и_состояние_сиз,Yes
29,SITE-008,hazardous_materials_stored/хранение_опасных_материалов,Yes
29,SITE-008,tools_inspected/проверка_инструментов,Yes
30,SITE-006,competency_certified/компетентность_и_сертификация,Yes
30,SITE-006,equipment_certified/сертификация_оборудования,Yes
30,SITE-006,high_risk_procedure_team/работы_повышенной_опасности,Yes
30,SITE-006,defective_equipment_removed/удаление_неисправного_оборудования,No
30,SITE-006,adequate_lighting/освещение,Yes
30,SITE-006,hazardous_materials_stored/хранение_опасных_материалов,Yes
30,SITE-006,supervisor_available/наличие_руководителя,Yes
30,SITE-006,medically_fit/медицинская_подготовка,Yes
30,SITE-006,ppe_available_condition/наличие_и_состояние_сиз,Yes
30,SITE-006,emergency_exits_marked/аварийные_выходы,Yes
30,SITE-006,work_area_hazard_free/отсутствие_опасностей,Yes
30,SITE-006,tools_inspected/проверка_инструментов,Yes
31,SITE-014,equipment_certified/сертификация_оборудования,Yes
31,SITE-014,tools_inspected/проверка_инструментов,No
31,SITE-014,hazardous_materials_stored/хранение_опасных_материалов,No
31,SITE-014,work_area_hazard_free/отсутствие_опасностей,No
31,SITE-014,emergency_exits_marked/аварийные_выходы,No
31,SITE-014,adequate_lighting/освещение,Yes
31,SITE-014,competency_certified/компетентность_и_сертификация,N/A
31,SITE-014,high_risk_procedure_team/работы_повышенной_опасности,Yes
31,SITE-014,supervisor_available/наличие_руководителя,Yes
31,SITE-014,defective_equipment_removed/удаление_неисправного_оборудования,Yes
31,SITE-014,ppe_available_condition/наличие_и_состояние_сиз,Yes
31,SITE-014,medically_fit/медицинская_подготовка,Yes
32,SITE-003,ppe_available_condition/наличие_и_состояние_сиз,Yes
32,SITE-003,competency_certified/компетентность_и_сертификация,Yes
32,SITE-003,hazardous_materials_stored/хранение_опасных_материалов,Yes
32,SITE-003,work_area_hazard_free/отсутствие_опасностей,No
32,SITE-003,supervisor_available/наличие_руководителя,Yes
32,SITE-003,defective_equipment_removed/удаление_неисправного_оборудования,Yes
32,SITE-003,medically_fit/медицинская_подготовка,Yes
32,SITE-003,equipment_certified/сертификация_оборудования,Yes
32,SITE-003,high_risk_procedure_team/работы_повышенной_опасности,Yes
32,SITE-003,tools_inspected/проверка_инструментов,Yes
32,SITE-003,adequate_lighting/освещение,Yes
32,SITE-003,emergency_exits_marked/аварийные_выходы,Yes
33,SITE-015,work_area_hazard_free/отсутствие_опасностей,No
33,SITE-015,medically_fit/медицинская_подготовка,Yes
33,SITE-015,tools_inspected/проверка_инструментов,No
33,SITE-015,ppe_available_condition/наличие_и_состояние_сиз,Yes
33,SITE-015,competency_certified/компетентность_и_сертификация,Yes
33,SITE-015,equipment_certified/сертификация_оборудования,Yes
33,SITE-015,adequate_lighting/освещение,Yes
33,SITE-015,supervisor_available/наличие_руководителя,No
33,SITE-015,defective_equipment_removed/удаление_неисправного_оборудования,Yes
33,SITE-015,emergency_exits_marked/аварийные_выходы,Yes
33,SITE-015,hazardous_materials_stored/хранение_опасных_материалов,Yes
33,SITE-015,high_risk_procedure_team/работы_повышенной_опасности,Yes
34,SITE-012,equipment_certified/сертификация_оборудования,Yes
34,SITE-012,defective_equipment_removed/удаление_неисправного_оборудования,Yes
34,SITE-012,work_area_hazard_free/отсутствие_опасностей,Yes
34,SITE-012,emergency_exits_marked/аварийные_выходы,Yes
34,SITE-012,competency_certified/компетентность_и_сертификация,Yes
34,SITE-012,high_risk_procedure_team/работы_повышенной_опасности,Yes
34,SITE-012,ppe_available_condition/наличие_и_состояние_сиз,Yes
34,SITE-012,hazardous_materials_stored/хранение_опасных_материалов,No
34,SITE-012,adequate_lighting/освещение,Yes
34,SITE-012,medically_fit/медицинская_подготовка,Yes
34,SITE-012,supervisor_available/наличие_руководителя,Yes
34,SITE-012,tools_inspected/проверка_инструментов,Yes
35,SITE-015,work_area_hazard_free/отсутствие_опасностей,No
35,SITE-015,ppe_available_condition/наличие_и_состояние_сиз,Yes
35,SITE-015,medically_fit/медицинская_подготовка,No
35,SITE-015,adequate_lighting/освещение,Yes
35,SITE-015,high_risk_procedure_team/работы_повышенной_опасности,No
35,SITE-015,tools_inspected/проверка_инструментов,Yes
35,SITE-015,supervisor_available/наличие_руководителя,No
35,SITE-015,competency_certified/компетентность_и_сертификация,N/A
35,SITE-015,defective_equipment_removed/удаление_неисправного_оборудования,Yes
35,SITE-015,equipment_certified/сертификация_оборудования,Yes
35,SITE-015,emergency_exits_marked/аварийные_выходы,Yes
35,SITE-015,hazardous_materials_stored/хранение_опасных_материалов,No
36,SITE-008,medically_fit/медицинская_подготовка,Yes
36,SITE-008,equipment_certified/сертификация_оборудования,Yes
36,SITE-008,hazardous_materials_stored/хранение_опасных_материалов,Yes
36,SITE-008,adequate_lighting/освещение,Yes
36,SITE-008,competency_certified/компетентность_и_сертификация,Yes
36,SITE-008,defective_equipment_removed/удаление_неисправного_оборудования,No
36,SITE-008,high_risk_procedure_team/работы_повышенной_опасности,Yes
36,SITE-008,work_area_hazard_free/отсутствие_опасностей,Yes
36,SITE-008,tools_inspected/проверка_инструментов,No
36,SITE-008,supervisor_available/наличие_руководителя,Yes
36,SITE-008,ppe_available_condition/наличие_и_состояние_сиз,Yes
36,SITE-008,emergency_exits_marked/аварийные_выходы,N/A
37,SITE-003,ppe_available_condition/наличие_и_состояние_сиз,Yes
37,SITE-003,equipment_certified/сертификация_оборудования,No
37,SITE-003,emergency_exits_marked/аварийные_выходы,Yes
37,SITE-003,hazardous_materials_stored/хранение_опасных_материалов,Yes
37,SITE-003,medically_fit/медицинская_подготовка,Yes
37,SITE-003,supervisor_available/наличие_руководителя,Yes
37,SITE-003,high_risk_procedure_team/работы_повышенной_опасности,Yes
37,SITE-003,adequate_lighting/освещение,Yes
37,SITE-003,defective_equipment_removed/удаление_неисправного_оборудования,Yes
37,SITE-003,tools_inspected/проверка_инструментов,Yes
37,SITE-003,competency_certified/компетентность_и_сертификация,Yes
37,SITE-003,work_area_hazard_free/отсутствие_опасностей,Yes
38,SITE-004,ppe_available_condition/наличие_и_состояние_сиз,Yes
38,SITE-004,work_area_hazard_free/отсутствие_опасностей,Yes
38,SITE-004,high_risk_procedure_team/работы_повышенной_опасности,Yes
38,SITE-004,defective_equipment_removed/удаление_неисправного_оборудования,No
38,SITE-004,supervisor_available/наличие_руководителя,Yes
38,SITE-004,tools_inspected/проверка_инструментов,Yes
38,SITE-004,hazardous_materials_stored/хранение_опасных_материалов,No
38,SITE-004,medically_fit/медицинская_подготовка,Yes
38,SITE-004,competency_certified/компетентность_и_сертификация,Yes
38,SITE-004,adequate_lighting/освещение,Yes
38,SITE-004,equipment_certified/сертификация_оборудования,Yes
